,Vynil,Artist,Label,Country,Released Year,Genre,Tracks Num,Media Condition,Sleeve Condition,Seller Rating,For Sale,Have,Want,Price
9216,Kick,INXS,Mercury,Europe,1987,Rock,12,VG+,VG+,100.0,1710,72488,26801,17.59
9217,Red,The Communards,London Records,Europe,1987,Electronic,10,VG+,NM or M-,100.0,1006,34380,36424,17.00
9218,Spike,Elvis Costello,Warner Bros. Records,Europe,1989,Rock,14,M,M,100.0,991,16863,1573,45.00
9219,Billion Dollar Babies,Alice Cooper,Warner Bros. Records,US,25 Feb 1973,Rock,10,VG+,VG,100.0,994,44323,17245,125.00
9220,Equinoxe,Jean Michel Jarre*,Polydor,Germany,,Electronic,8,VG+,VG+,100.0,2293,52552,31738,24.99
9221,I'm Your Man,Leonard Cohen,CBS,Europe,1988,"Rock, Folk, World, & Country",8,M,VG+,100.0,950,26879,13789,47.50
9222,The Magic Of Boney M. - 20 Golden Hits,Boney M.,Hansa,Germany,Feb 1980,Funk / Soul,20,VG+,VG+,100.0,406,12711,3928,25.21
9223,At The Sound Of The Bell,Pavlov's Dog,CBS,Europe,1976,Rock,9,VG+,VG+,100.0,482,6008,1205,34.63
9224,My Aim Is True,Elvis Costello,Stiff Records,UK,22 Jul 1977,Rock,12,NM or M-,NM or M-,100.0,1115,50575,26437,77.00
9225,Hot Rocks 1964-1971,The Rolling Stones,London Records,US,1981,Rock,21,VG+,VG+,100.0,2054,81786,13390,37.00
9226,The Suzi Quatro Story - Golden Hits,Suzi Quatro,RAK,Scandinavia,1975,Rock,12,M,VG+,100.0,246,2967,537,27.00
9227,Real Life,Simple Minds,Virgin,Europe,1991,"Electronic, Rock, Pop",12,M,VG+,100.0,,,,34.99
9228,On Your Feet Or On Your Knees,Blue Öyster Cult,Columbia,US,1975,Rock,12,VG+,VG+,100.0,648,17651,3290,45.00
9229,So,Peter Gabriel,Virgin,Europe,1986,"Electronic, Rock, Pop",8,VG+,VG+,100.0,2253,101869,55980,19.00
9230,Sledgehammer,Peter Gabriel,Virgin,Europe,1986,Rock,3,NM or M-,VG+,100.0,1054,18515,4059,14.00
9231,True Blue,Madonna,Sire,Europe,1986,Pop,9,NM or M-,NM or M-,100.0,3279,94730,38666,34.99
9232,Blackout,Scorpions,Harvest,Europe,Mar 1982,Rock,9,VG+,VG+,100.0,1093,43893,19120,34.00
9233,Marilyn Monroe,Marilyn Monroe,All Round Trading,Europe,1984,Jazz,12,VG+,VG+,100.0,,,,144.99
9234,The Worst Of Jefferson Airplane,Jefferson Airplane,RCA Victor,Germany,1970,Rock,15,VG+,VG+,100.0,950,23997,4723,68.99
9235,Unlimited Love,Red Hot Chili Peppers,Warner Records,Worldwide,01 Apr 2022,"Rock, Funk / Soul",17,M,M,100.0,,,,99.00
9236,The Look (Head-Drum-Mix),Roxette,Parlophone,Sweden,12 Jan 1989,"Electronic, Rock, Pop",3,VG+,VG+,100.0,65,1654,244,24.99
9237,...Keep Smiling,Laid Back,Sire,US,Mar 1984,"Electronic, Pop",8,NM or M-,VG+,100.0,391,5722,8406,77.00
9238,Mystery Ticket,Moon Martin,Capitol Records,Europe,1982,"Rock, Pop",10,M,VG+,100.0,314,1953,121,21.00
9239,Talking Heads: 77,Talking Heads,Sire,Germany,,Rock,11,M,NM or M-,100.0,842,57633,58013,68.99
9240,Another Page,Christopher Cross,Warner Bros. Records,Scandinavia,1983,"Rock, Pop",10,NM or M-,VG+,100.0,1952,16314,1743,7.00
9241,I Nattens Lugn,Adolphson-Falk,Air (3),Sweden,Feb 1986,Electronic,8,VG+,VG+,100.0,61,1049,33,14.00
9242,"Reggae, Soul, And Rock 'n' Roll",Johnny Wakelin,Pye Records,UK,1976,Funk / Soul,11,NM or M-,VG+,100.0,205,786,256,8.00
9243,Love Is Here And Now You're Gone,Tami Lynn,Cotillion,US,1972,Funk / Soul,15,VG+,VG+,100.0,361,1555,247,37.00
9244,Original Soundtrack,S'Express,Rhythm King,Scandinavia,1989,Electronic,10,VG+,VG+,100.0,,,,24.99
9245,Danny Mirror,Danny Mirror,EMI,Scandinavia,1977,Pop,11,VG+,VG+,100.0,,,,7.00
9246,Hold Me,Laura Branigan,Atlantic,Europe,1985,"Electronic, Pop",10,VG+,VG+,100.0,945,8740,1969,8.00
9247,Introducing Mac & Katie Kissoon,Mac & Katie Kissoon*,Polydor,Norway,1971,Pop,11,NM or M-,VG+,100.0,18,81,14,11.83
9248,Night Songs,Cinderella (3),Mercury,Netherlands,1986,Rock,10,VG+,VG+,100.0,696,24073,6595,46.99
9249,Greatest Hits,Ike & Tina Turner,United Artists Records,Sweden,1976,"Rock, Funk / Soul",10,VG+,VG+,100.0,,,,14.00
9250,Equinoxe,Jean Michel Jarre*,Polydor,Germany,,Electronic,8,VG+,VG+,100.0,2293,52552,31738,24.99
9251,I'm Your Man,Leonard Cohen,CBS,Europe,1988,"Rock, Folk, World, & Country",8,M,VG+,100.0,950,26879,13789,47.50
9252,The Magic Of Boney M. - 20 Golden Hits,Boney M.,Hansa,Germany,Feb 1980,Funk / Soul,20,VG+,VG+,100.0,406,12711,3928,25.21
9253,At The Sound Of The Bell,Pavlov's Dog,CBS,Europe,1976,Rock,9,VG+,VG+,100.0,482,6008,1205,34.63
9254,My Aim Is True,Elvis Costello,Stiff Records,UK,22 Jul 1977,Rock,12,NM or M-,NM or M-,100.0,1115,50575,26437,77.00
9255,Hot Rocks 1964-1971,The Rolling Stones,London Records,US,1981,Rock,21,VG+,VG+,100.0,2054,81786,13390,37.00
9256,The Suzi Quatro Story - Golden Hits,Suzi Quatro,RAK,Scandinavia,1975,Rock,12,M,VG+,100.0,246,2967,537,27.00
9257,Real Life,Simple Minds,Virgin,Europe,1991,"Electronic, Rock, Pop",12,M,VG+,100.0,,,,34.99
9258,On Your Feet Or On Your Knees,Blue Öyster Cult,Columbia,US,1975,Rock,12,VG+,VG+,100.0,648,17651,3290,45.00
9259,So,Peter Gabriel,Virgin,Europe,1986,"Electronic, Rock, Pop",8,VG+,VG+,100.0,2253,101869,55980,19.00
9260,Sledgehammer,Peter Gabriel,Virgin,Europe,1986,Rock,3,NM or M-,VG+,100.0,1054,18515,4059,14.00
9261,True Blue,Madonna,Sire,Europe,1986,Pop,9,NM or M-,NM or M-,100.0,3279,94730,38666,34.99
9262,Blackout,Scorpions,Harvest,Europe,Mar 1982,Rock,9,VG+,VG+,100.0,1093,43893,19120,34.00
9263,Marilyn Monroe,Marilyn Monroe,All Round Trading,Europe,1984,Jazz,12,VG+,VG+,100.0,,,,144.99
9264,The Worst Of Jefferson Airplane,Jefferson Airplane,RCA Victor,Germany,1970,Rock,15,VG+,VG+,100.0,950,23997,4723,68.99
9265,Unlimited Love,Red Hot Chili Peppers,Warner Records,Worldwide,01 Apr 2022,"Rock, Funk / Soul",17,M,M,100.0,,,,99.00
9266,The Look (Head-Drum-Mix),Roxette,Parlophone,Sweden,12 Jan 1989,"Electronic, Rock, Pop",3,VG+,VG+,100.0,65,1654,244,24.99
9267,...Keep Smiling,Laid Back,Sire,US,Mar 1984,"Electronic, Pop",8,NM or M-,VG+,100.0,391,5722,8406,77.00
9268,Mystery Ticket,Moon Martin,Capitol Records,Europe,1982,"Rock, Pop",10,M,VG+,100.0,314,1953,121,21.00
9269,Talking Heads: 77,Talking Heads,Sire,Germany,,Rock,11,M,NM or M-,100.0,842,57633,58013,68.99
9270,Another Page,Christopher Cross,Warner Bros. Records,Scandinavia,1983,"Rock, Pop",10,NM or M-,VG+,100.0,1952,16314,1743,7.00
9271,I Nattens Lugn,Adolphson-Falk,Air (3),Sweden,Feb 1986,Electronic,8,VG+,VG+,100.0,61,1049,33,14.00
9272,"Reggae, Soul, And Rock 'n' Roll",Johnny Wakelin,Pye Records,UK,1976,Funk / Soul,11,NM or M-,VG+,100.0,205,786,256,8.00
9273,Love Is Here And Now You're Gone,Tami Lynn,Cotillion,US,1972,Funk / Soul,15,VG+,VG+,100.0,361,1555,247,37.00
9274,Original Soundtrack,S'Express,Rhythm King,Scandinavia,1989,Electronic,10,VG+,VG+,100.0,,,,24.99
9275,Danny Mirror,Danny Mirror,EMI,Scandinavia,1977,Pop,11,VG+,VG+,100.0,,,,7.00
9276,Hold Me,Laura Branigan,Atlantic,Europe,1985,"Electronic, Pop",10,VG+,VG+,100.0,945,8740,1969,8.00
9277,Introducing Mac & Katie Kissoon,Mac & Katie Kissoon*,Polydor,Norway,1971,Pop,11,NM or M-,VG+,100.0,18,81,14,11.83
9278,Night Songs,Cinderella (3),Mercury,Netherlands,1986,Rock,10,VG+,VG+,100.0,696,24073,6595,46.99
9279,Greatest Hits,Ike & Tina Turner,United Artists Records,Sweden,1976,"Rock, Funk / Soul",10,VG+,VG+,100.0,,,,14.00
9280,Kick,INXS,Mercury,Europe,1987,Rock,12,NM or M-,VG+,100.0,1710,72488,26801,45.00
9281,Stars Sing Lennon & McCartney,Various,Music For Pleasure,Netherlands,1970,"Rock, Pop",12,VG+,G,100.0,61,319,18,7.00
9282,The Album,ABBA,Polar,Sweden,12 Dec 1977,"Electronic, Rock, Pop, Stage & Screen",10,G+,VG+,100.0,,,,9.00
9283,41 Original Hits From The Sound Track Of American Graffiti,Various,MCA Records,Germany,,"Rock, Stage & Screen",41,NM or M-,NM or M-,100.0,902,24126,4603,45.00
9284,Catching The Sun,Spyro Gyra,MCA Records,Philippines,1980,Jazz,9,NM or M-,VG+,100.0,917,9087,1537,14.00
9285,25 Hits,Santana,CBS,Europe,1978,"Rock, Latin",25,VG+,VG,100.0,211,6010,223,14.00
9286,The Blackout,U2,Third Man Records,Worldwide,24 Nov 2017,"Electronic, Rock",2,M,M,100.0,1093,43893,19120,39.00
9287,Scream Dream,Ted Nugent,Epic,Europe,1980,Rock,10,VG+,VG+,100.0,421,8981,1245,24.99
9288,Real Life,Simple Minds,Virgin,Europe,1991,"Electronic, Rock, Pop",12,NM or M-,VG+,100.0,,,,17.00
9289,Blue And Gray,Poco (3),MCA Records,Scandinavia,1981,"Rock, Pop",10,NM or M-,VG+,100.0,405,2878,257,7.97
9290,Tale Spinnin',Weather Report,CBS,Europe,1975,"Jazz, Rock",6,VG+,VG,100.0,578,8574,2957,24.99
9291,Vulture Culture,The Alan Parsons Project,Arista,US,1985,"Electronic, Rock",8,M,NM or M-,100.0,1035,21062,4298,34.00
9292,Invisibile,Umberto Tozzi,CGD,Europe,1987,"Rock, Pop",9,VG+,VG+,100.0,213,677,99,8.90
9293,Joe Loss Plays Glenn Miller,Joe Loss & His Orchestra,Music For Pleasure,Sweden,1969,Jazz,12,NM or M-,VG+,100.0,409,2446,60,7.00
9294,Some Enchanted Evening,Blue Öyster Cult,CBS,Europe,,Rock,7,VG+,G+,100.0,627,21762,4327,25.00
9295,Hemligheter,X Models,Parlophone,Sweden,1981,"Electronic, Rock, Pop",10,NM or M-,VG+,100.0,50,519,14,8.00
9296,The Game's Up,Sniff 'n' the Tears,Chiswick Records,Scandinavia,1980,Rock,9,VG+,VG+,100.0,536,3576,595,14.00
9297,...Keep Smiling,Laid Back,Medley Records,Scandinavia,1983,Electronic,8,VG+,VG+,100.0,391,5722,8406,24.99
9298,The Best Of,Judas Priest,Gull,Scandinavia,1978,Rock,8,VG+,VG+,100.0,,,,34.99
9299,Ummagumma,Pink Floyd,Harvest,Netherlands,,Rock,21,VG+,NM or M-,100.0,3574,101536,95424,48.99
9300,Party Hardy,Velvet Hammer,Soozi Records,US,1977,Funk / Soul,2,NM or M-,,99.8,38,504,1811,179.99
9301,The Ghettosburg Address / The Falling Superstars,Babs Gonzales,Expubidence Records,US,1969,Non-Music,2,M,,99.8,1,0,17,69.99
9302,Technicolor,Channel One,Metroplex,US,1986,Electronic,3,NM or M-,,99.8,,,,39.99
9303,It Must Be Jesus,Clifford Gober,Calvary Records (6),US,1979,Funk / Soul,9,M,NM or M-,99.8,2,39,125,125.99
9304,Swang Dat Thang,"Anonymous (44) Featuring 

Ladé Vee",Cititrax Records,US,1993,Hip Hop,6,NM or M-,,99.8,6,3,39,14.99
9305,My Little Party,Tony Real (2),Sunshine Music LTD,US,1989,Electronic,7,NM or M-,,99.8,47,235,534,19.99
9306,Spankk,Spankk,Bullet (8),South Africa,1981,Funk / Soul,11,NM or M-,NM or M-,99.8,6,30,226,199.99
9307,Here 'Tis,Lou Donaldson,Blue Note,US,1961,Jazz,5,VG,VG+,99.8,,,,249.99
9308,Deja Vu / Be Mine,Incognito (31),Krescent,US,1990,Funk / Soul,4,M,,99.8,2,3,29,149.99
9309,Throw Your Hands Up (Unreleased 45),No I.D.,Black Pegasus,US,,Hip Hop,3,NM or M-,NM or M-,99.8,8,21,35,46.99
9310,No More Heartaches / I'm The One,"Delroy Wilson & 

Sassafross*",Gorgon Records,Jamaica,1982,Reggae,2,NM or M-,,99.8,15,27,38,14.99
9311,Black Oceans,Larry Heard,Black Market International,UK,1994,Electronic,3,VG+,G+,99.8,28,640,3763,59.99
9312,I Couldn't Do It Without You,Jacque*,Starburst Records (5),US,,Funk / Soul,10,NM or M-,NM or M-,99.8,3,19,77,39.99
9313,The Little Wooden Church,Norfleet Brothers,"Siest Stars Records, Inc.",US,,Funk / Soul,8,VG+,VG+,99.8,,5,18,29.99
9314,He That Endures To The End,The Moore Four,Moore Four Productions,US,1987,Funk / Soul,2,M,,99.8,2,4,28,149.99
9315,From The Heart,Dianne Cash,Eden Records (30),US,,"Pop, Folk, World, & Country",11,M,M,99.8,,,,19.99
9316,Around The World,The Black Eagles,Black Eagle,US,1979,Reggae,2,VG+,,99.8,,,,12.99
9317,Who Got The Flava,Maniac*,Struggle Entertainment Recording,US,1997,Hip Hop,4,NM or M-,,99.8,2,50,599,99.99
9318,This Rhyme Is Automatic,Total Kaos (3),L.I.F.E. Records,US,1991,Hip Hop,6,VG+,,99.8,3,31,90,59.99
9319,Little Big Man,Bushwick Bill,Rap-A-Lot Records,US,1992,Hip Hop,6,NM or M-,NM or M-,99.8,,,,34.99
9320,Dis Me (Don't Even Try It),Elgin K.,G-Ride Records,US,1987,Hip Hop,2,M,,99.8,2,3,34,59.99
9321,The Batrap,T.C. Rapper,Truth Records (6),US,1989,"Electronic, Hip Hop",5,NM or M-,,99.8,4,10,25,49.99
9322,Joy In My Soul,The Paragons,Clocktower Records,Jamaica,1975,Reggae,2,VG+,,99.8,,5,131,14.99
9323,Disco Train,Fernando Harkless,Paper Moon Records,US,1979,Funk / Soul,2,NM or M-,VG+,99.8,312,3230,3574,29.99
9324,Looking For The Perfect Beat,Afrika Bambaataa & Soulsonic Force,Tommy Boy,US,1983,"Electronic, Hip Hop",3,NM or M-,,99.8,314,5581,5475,9.99
9325,Out Of This World,The Three Sounds,Blue Note,US,1966,Jazz,8,VG+,NM or M-,99.8,828,17662,3520,49.99
9326,S.F. Sorrow,Pretty Things*,Columbia,UK,1968,Rock,13,NM or M-,VG+,99.8,507,11352,16280,599.99
9327,Ain't No Woman / Living In The Getto,The Heptones,Unity House Music,US,1979,Reggae,2,NM or M-,,99.8,2,17,79,89.99
9328,Low End Technics,D.J. Slugo*,Dance Mania,US,1996,Electronic,4,VG+,,99.8,4,70,168,49.99
9329,Pseudo Prophets,Pseudo Prophets,D.T.A. Productions,US,Aug 2000,Hip Hop,6,NM or M-,,99.8,6,25,148,49.99
9330,Make A Joyful Noise,Illinois State University Interdenominational Youth Choir,Mark Records,US,1980,Funk / Soul,11,VG+,NM or M-,99.8,121,1140,255,99.99
9331,Spirit Of Sunshine,The Chuck Davis Orchestra,West End Records,US,1977,Funk / Soul,2,NM or M-,,99.8,21,220,828,19.99
9332,Sinking Sand / Down The Road,Bob Danner (2),T.D.L. Records,US,1977,Funk / Soul,2,VG,,99.8,2,3,19,99.99
9333,A New Beginning For Jackie Ross,Jackie Ross,Golden Ear Records,US,1980,Funk / Soul,9,NM or M-,VG+,99.8,3,40,296,529.99
9334,One In A Million,New Jerusalem Temple Family Chorale*,New Jay Temple Productions,US,1981,Funk / Soul,2,VG,,99.8,575,6702,6030,49.99
9335,So Lonely / I'm Crazy Baby,Johnny Ace,Duke,US,1955,"Funk / Soul, Blues",2,VG+,,99.8,22,49,20,11.99
9336,Rockin Chair / Where Has Love Gone,Willie Clayton,Kirstee,US,,Funk / Soul,2,NM or M-,,99.8,2,0,2,11.99
9337,La Folie,The Stranglers,Liberty,Europe,1981,Rock,11,VG+,VG+,Item Ships From:,317,12617,6201,20.00
9338,ふたりのひとりごと: 鳩 / こげな町には……,"允彦*, 

千夏*",Solid Records (6),Japan,Jun 2021,Pop,2,M,M,100.0,3,2,7,64.96
9339,Don Juan / Till Eulenspiegel / Tod Und Verklärung,Richard Strauss,London Records,Brazil,1982,Classical,3,NM or M-,VG+,Item Ships From:,66,167,19,16.00
9340,"Symphony No. 3 'Scotch', Fingal's Cave","Mendelssohn* - 

London Symphony Orchestra*, 

Peter Maag",London Records,Japan,1988,Classical,6,NM or M-,NM or M-,100.0,129,873,518,80.00
9341,"See Jungle! See Jungle! Go Join Your Gang Yeah! City All Over, Go Ape Crazy",Bow Wow Wow,RCA Victor,US,1981,"Rock, Pop",13,VG+,VG+,98.6,51,1607,173,7.00
9342,Suedehead,Morrissey,His Master's Voice,UK,27 Feb 1988,Rock,2,VG+,,100.0,442,10226,4168,9.95
9343,When Farmer Met Gryce,"Art Farmer / 

Gigi Gryce",Original Jazz Classics,US,1983,Jazz,8,NM or M-,NM or M-,99.7,120,941,799,29.95
9344,Walt Disney's Story And Songs From Peter Pan,Unknown Artist,Disneyland,US,1969,"Children's, Stage & Screen",7,G+,G+,100.0,24,867,27,5.99
9345,Superman,Unknown Artist,Power Records (4),US,1975,"Non-Music, Children's",4,VG+,VG+,100.0,,,,4.50
9346,Led Zeppelin,Led Zeppelin,Atlantic,USA & Canada,03 Jun 2014,Rock,9,M,M,92.5,,,,38.38
9347,The Bank Of California 1864,Unknown Artist,Not On Label,US,,"Folk, World, & Country",12,VG+,VG+,100.0,7,10,0,13.99
9348,Superman,Unknown Artist,Power Records (4),US,1975,Children's,4,G+,VG,100.0,,,,4.50
9349,Temas Para Recordar,Unknown Artist,Borinquen,Puerto Rico,,Latin,8,VG+,VG,100.0,8,19,0,3.50
9350,Poet Of The Blues,Willie Dixon,Music On Vinyl,Europe,2016,Blues,21,M,M,99.6,30,324,83,49.95
9351,Capsule Losing Contact,Duster (2),Numero Group,US,22 Jun 2022,Rock,55,M,M,99.6,104,2476,1798,119.95
9352,Sounds Machine Groove,R.L. Burnside,Sutro Park,US,2011,Blues,12,M,M,99.6,9,197,179,44.95
9353,Robert Pete Williams With Big Joe Williams,"Robert Pete Williams With 

Big Joe Williams",Pure Pleasure Records,UK,2008,Blues,8,M,M,99.6,54,299,131,49.95
9354,In The Beginning,Stevie Ray Vaughan And Double Trouble*,Music On Vinyl,Europe,12 Aug 2016,"Rock, Blues",9,M,M,99.6,708,5380,1576,44.95
9355,The Ice Warriors,Doctor Who,Demon Records,UK,21 May 2021,Stage & Screen,6,M,M,99.6,7,70,27,99.95
9356,Ineffable Mysteries From Shpongleland,Shpongle,Twisted Records,UK,02 Oct 2020,Electronic,8,M,M,99.6,111,2315,2112,349.95
9357,John's Old Time Radio Show,"Robert Crumb, 

Eden Brower, 

John Heneghan",East River Records,US,19 Feb 2016,"Jazz, Blues, Non-Music, Folk, World, & Country",47,M,M,99.6,6,101,131,94.95
9358,The Old Church,Roscoe Holcomb,Jalopy Records,US,03 Dec 2021,"Folk, World, & Country",7,M,M,99.6,,,,44.95
9359,Everybody's Talkin',Tedeschi Trucks Band,Music On Vinyl,Europe,01 Jun 2012,"Rock, Blues",11,M,M,99.6,70,2795,794,139.95
9360,The Singles Collection,Creedence Clearwater Revival,Fantasy,US,2009,"Rock, Pop, Folk, World, & Country",45,M,M,99.6,,,,99.95
9361,Yesterday's Tomorrow Is Not Today,Current (3),Numero Group,US,19 Sep 2022,Rock,38,M,M,99.6,57,343,82,89.95
9362,Capsule Losing Contact,Duster (2),Numero Group,US,22 Jun 2022,Rock,55,M,M,99.6,104,2476,1798,119.95
9363,"Dollars, Dust & Pistoleros: The Westerns Anthology",Ennio Morricone,btf.it,Worldwide,03 Dec 2021,"Classical, Folk, World, & Country, Stage & Screen",143,M,M,99.6,19,173,85,524.95
9364,Made Up Mind,Tedeschi Trucks Band,Music on Vinyl,Europe,19 Jul 2019,"Rock, Blues",11,M,M,99.6,127,3522,954,114.95
9365,The End Of The Game,Peter Green (2),Music On Vinyl,Europe,20 Mar 2020,"Jazz, Rock, Blues",6,M,M,99.6,491,5847,4887,44.95
9366,Soul To Soul,Stevie Ray Vaughan And Double Trouble*,Music On Vinyl,Europe,2012,"Rock, Blues",10,M,M,99.6,,,,49.95
9367,Frida Kahlo vs. Ezra Pound,Atmosphere (2),Rhymesayers Entertainment,US,29 Nov 2016,Hip Hop,21,M,M,99.6,29,524,121,64.95
9368,Devil Got My Woman: 16 Classic Blues Songs From 1926-1937,Various,Hi Horse Records,US,03 Aug 2017,Blues,16,M,M,99.6,2,157,35,44.95
9369,Revolution,Q65,Music On Vinyl,Netherlands,2015,Rock,12,M,M,99.6,,,,44.95
9370,Once Twice Melody,Beach House,Sub Pop,US,18 Feb 2022,"Rock, Pop",22,M,M,99.6,426,12325,1794,79.95
9371,Couldn't Stand The Weather,Stevie Ray Vaughan And Double Trouble*,Music On Vinyl,Europe,29 Apr 2011,Rock,20,M,M,99.6,1222,37378,11310,49.95
9372,"Godzilla: The Showa-Era Soundtracks, 1954-1975","Akira Ifukube, 

Masaru Sato, 

Kunio Miyauchi, 

Riichiro Manabe",Waxwork Records,USA & Canada,01 Jul 2021,Stage & Screen,488,M,M,99.6,17,547,308,934.95
9373,Sometime / Human / Geist,DIIV,Captured Tracks,Worldwide,19 Aug 2022,Rock,9,M,M,99.6,56,235,57,79.95
9374,Rarities,Emiliana Torrini,One Little Indian,UK,14 Feb 2011,"Electronic, Pop",28,M,M,99.6,301,11908,1527,40.95
9375,All That She Wants: The Classic Albums,Ace Of Base,Demon Records,UK & Europe,03 Jul 2020,Pop,59,M,M,99.6,42,714,266,154.95
9376,Headshots: Se7en,Atmosphere (2),Rhymesayers Entertainment,US,18 Oct 2019,Hip Hop,21,M,M,99.6,104,2077,864,59.95
9377,The Sky Is Crying,Stevie Ray Vaughan And Double Trouble*,Music On Vinyl,Europe,05 Oct 2015,Blues,10,M,M,99.6,809,13711,3776,49.95
9378,Worried Blues,Mississippi John Hurt,Hi Horse Records,US,01 Mar 2019,Blues,10,M,M,99.6,,,,44.95
9379,Darklands,The Jesus And Mary Chain,Warner Bros. Records,US,1987,Rock,10,VG+,VG+,99.6,320,22828,14947,79.95
9380,Folk Songs And Blues,Mississippi John Hurt,Hi Horse Records,USA & Canada,2018,Blues,12,M,M,99.6,57,924,1297,44.95
9381,I'm Ready,Muddy Waters,Blue Sky,Europe,2012,Blues,9,M,M,99.6,221,4130,8993,49.95
9382,Little Dreamer,Peter Green (2),Music On Vinyl,Europe,16 Oct 2020,Rock,9,M,M,99.6,478,5828,1352,40.95
9383,Up The Bracket,The Libertines,Rough Trade,US,15 Jul 2016,Rock,12,M,NM or M-,99.6,691,13690,4987,99.95
9384,Anthology Of American Folk Music Volume Three: Songs,Harry Smith,Mississippi Records,US,2014,"Blues, Folk, World, & Country",28,M,NM or M-,99.6,14,926,1863,189.95
9385,Time Expired,Karate,Numero Group,"UK, Europe & US",07 Oct 2022,Rock,34,M,M,99.6,102,1086,307,199.95
9386,Kolors,Peter Green (2),Music On Vinyl,Europe,16 Oct 2020,Rock,9,M,M,99.6,170,1548,511,40.95
9387,The Guardian,Little Howling Wolf*,Family Vineyard,US,01 Apr 2016,"Jazz, Blues",11,M,M,99.6,,,,32.95
9388,My Feeling For The Blues,Freddie King,Atlantic,Europe,19 Oct 2017,Blues,11,M,M,99.6,121,3803,1535,40.95
9389,The Alan Lomax Recordings,Fred McDowell,Mississippi Records,US,2011,Blues,12,NM or M-,NM or M-,99.6,20,1131,387,54.95
9390,Amazing Grace,Fred McDowell,Sutro Park,US,2012,Blues,16,M,M,99.6,553,9506,7962,44.95
9391,Muddy Water Blues (A Tribute To Muddy Waters),Paul Rodgers,Music On Vinyl,Europe,02 Jul 2021,"Rock, Blues",16,M,M,99.6,377,3892,457,54.95
9392,The Collected Works Of Neutral Milk Hotel,Neutral Milk Hotel,Merge Records,Worldwide,24 Feb 2023,Rock,63,M,M,99.6,63,583,152,269.95
9393,Blues Jam In Chicago (Volume One),"Fleetwood Mac · 

Otis Spann · 

Willie Dixon · 

Shakey Horton* · 

J.T. Brown · 

Guitar Buddy* · 

Honeyboy Edwards* · 

S.P. Leary",Endless Happiness (2),UK,2021,"Rock, Blues",14,M,M,99.6,91,1007,953,40.95
9394,Moanin' In The Moonlight,Howlin' Wolf,DOL,Europe,28 May 2021,Blues,17,M,M,99.6,361,11523,14859,34.95
9395,In The Skies,Peter Green (2),Music On Vinyl,Europe,2016,Rock,9,M,M,99.6,617,13410,8365,44.95
9396,Life Before Insanity,Gov't Mule,Music On Vinyl,Europe,27 Nov 2020,Rock,12,M,M,99.6,137,2451,582,49.95
9397,Barbed Wire Kisses (B-Sides And More),The Jesus And Mary Chain,Warner Bros. Records,US,1988,Rock,16,NM or M-,VG+,99.6,416,15823,2241,49.95
9398,The Biggest Thing Since Colossus,"Otis Spann with 

Fleetwood Mac",Columbia,Europe,05 Dec 2014,Blues,10,M,M,99.6,152,2323,1947,49.95
9399,Blow By Blow,Jeff Beck,Music On Vinyl,Europe,24 Jun 2010,"Jazz, Rock",9,M,M,99.6,1119,36293,10584,44.95
9400,On The Rise,Barbara Howard,Remined,US,2019,Funk / Soul,10,M,M,99.6,289,5923,3423,44.95
9401,Communication,Bobby Womack,United Artists Records,US,,Funk / Soul,8,M,M,99.6,147,4149,3626,34.95
9402,Changes,Charles Bradley,Dunham,US,2022,Funk / Soul,11,M,M,99.6,,,,44.95
9403,Afreaka!,Demon Fuzz,Music On Vinyl,Europe,04 Sep 2020,"Jazz, Rock, Funk / Soul",5,M,M,99.6,175,6496,11919,64.95
9404,"Turn Me Loose (Outsiders Of ""Old Time"" Music)",Various,Tompkins Square,US,2013,"Blues, Folk, World, & Country",14,M,M,99.6,11,124,62,35.95
9405,Synthesis,"Brian Bennett & 

Alan Hawkshaw",Be With Records,UK,16 Nov 2018,"Jazz, Rock, Funk / Soul",12,M,M,99.6,12,477,1348,49.95
9406,Cold As Weiss,Delvon Lamarr Organ Trio,Colemine Records,US,11 Feb 2022,"Jazz, Funk / Soul",9,M,M,99.6,321,3977,683,44.95
9407,American Love Call,Durand Jones & The Indications,Dead Oceans,US,01 Mar 2019,Funk / Soul,12,M,M,99.6,199,7785,3087,39.95
9408,Where Have All The Flowers Gone?  The Songs Of Pete Seeger - Volume One,Various,Let Them Eat Vinyl,UK,2013,"Rock, Non-Music, Folk, World, & Country",20,M,M,99.6,17,75,11,34.95
9409,Antibalas,Antibalas,Daptone Records,,25 Nov 2022,"Jazz, Funk / Soul",6,M,M,99.6,,,,49.95
9410,My Prescription,Bobby Womack,Premium Cool Records,US,13 Oct 2016,Funk / Soul,12,M,M,99.6,51,605,917,40.95
